Model,Conf bin,Count
yolov8n,0.25-0.30,801
yolov8n,0.30-0.40,2247
yolov8n,0.40-0.50,3680
yolov8n,0.50-0.60,5583
yolov8n,0.60-0.70,3121
yolov8n,0.70-0.80,86
yolov8n,0.80-0.90,0
yolov8n,0.90-1.00,0
yolov8s,0.25-0.30,689
yolov8s,0.30-0.40,1462
yolov8s,0.40-0.50,2253
yolov8s,0.50-0.60,4691
yolov8s,0.60-0.70,6638
yolov8s,0.70-0.80,1381
yolov8s,0.80-0.90,0
yolov8s,0.90-1.00,0
yolov8m,0.25-0.30,520
yolov8m,0.30-0.40,1125
yolov8m,0.40-0.50,1824
yolov8m,0.50-0.60,4299
yolov8m,0.60-0.70,7833
yolov8m,0.70-0.80,1085
yolov8m,0.80-0.90,0
yolov8m,0.90-1.00,0
